1.10,事柄,405
1.11,類,993
1.12,存在,679
1.13,様相,1252
1.14,力,239
1.15,作用,3509
1.16,時間,2343
1.17,空間,1735
1.18,形,739
1.19,量,2552
1.20,人間,837
1.21,家族,619
1.22,仲間,254
1.23,人物,1828
1.24,成員,2077
1.25,公私,823
1.26,社会,1139
1.27,機関,697
1.30,心,6065
1.31,言語,4233
1.32,芸術,1096
1.33,生活,3392
1.34,行為,1289
1.35,交わり,1499
1.36,待遇,1651
1.37,経済,1897
1.38,事業,2037
1.40,物品,395
1.41,資材,934
1.42,衣料,1157
1.43,食料,1892
1.44,住居,1172
1.45,道具,2109
1.46,機械,1125
1.47,土地利用,599
1.50,自然,928
1.51,物質,1788
1.52,天地,1037
1.53,生物,164
1.54,植物,1272
1.55,動物,1220
1.56,身体,1439
1.57,生命,1347
2.10,真偽,24
2.11,類,308
2.12,存在,849
2.13,様相,345
2.14,力,28
2.15,作用,5302
2.16,時間,252
2.17,空間,75
2.19,量,72
2.30,心,3837
2.31,言語,1507
2.32,芸術,168
2.33,生活,2033
2.34,行為,452
2.35,交わり,1196
2.36,待遇,1374
2.37,経済,974
2.38,事業,1284
2.50,自然,297
2.51,物質,373
2.52,天地,11
2.56,身体,25
2.57,生命,819
3.10,真偽,177
3.11,類,248
3.12,存在,139
3.13,様相,898
3.14,力,94
3.15,作用,475
3.16,時間,692
3.17,空間,38
3.18,形,122
3.19,量,1072
3.30,心,1869
3.31,言語,237
3.33,生活,421
3.34,行為,817
3.35,交わり,64
3.36,待遇,225
3.37,経済,152
3.50,自然,716
3.51,物質,140
3.52,天地,35
3.53,生物,13
3.56,身体,89
3.57,生命,146
4.11,接続,204
4.30,感動,139
4.31,判断,216
4.32,呼び掛け,124
4.33,挨拶,153
4.50,動物の鳴き声,34
